elevation,width_m,length_m,count,system:index,label
0,510.5017642885908,1240.785734541815,690,-556756+226237,1
0,1051.0311889514726,2453.4759958324285,1639,-556871+226202,1
0,734.6421413973655,960.9149261567767,825,-556877+225479,1
0,540.5302281587517,1372.7318267038665,525,-556922+226189,1
0,1321.298445526596,2496.5490178760374,1303,-557114+226246,1
0,933.0311695453292,1411.2899441038162,1029,-557260+224542,1
0,450.413052476378,873.131024223494,376,-557404+224601,1
0,4624.550308252749,6322.953457093771,8345,-557409+226332,1
0,2432.3468952227486,2506.320005239985,4812,-557429+225820,1
0,710.874991449543,810.7407361356078,802,-557606+224523,1
0,834.3219758869808,900.8740552935038,838,-557608+225928,1
0,1621.5475959213468,2070.9088021099005,3239,-557631+225546,1
0,1245.1815604760627,1531.4805691883935,2434,-557669+225852,1
0,1381.3123118883063,1411.2108869552555,2233,-557719+225434,1
0,408.4389279052125,1411.392833550604,519,-557740+226351,1
0,1643.1408676313877,2011.9314651379927,3236,-557791+225692,1
0,572.4247783066863,870.8334483824225,570,-557808+225600,1
0,966.2931820797774,1261.222511632739,1715,-557877+225911,1
0,1462.6861713707308,2252.1947738154413,2917,-557914+226057,1
0,1171.1436337296225,1227.9513653370202,1145,-557918+226089,1
0,900.8818699141975,905.8552089550399,903,-557919+226144,1
0,780.7571067038596,878.3150943951032,901,-557935+225913,1
0,779.1974427116523,1141.0832558973548,709,-557950+225412,1
0,840.8087865806484,894.4209717248513,886,-557953+225720,1
0,846.7182612167494,1771.7422699356619,1064,-557966+226270,1
0,720.68076178929,809.3464725854358,794,-557979+225288,1
0,676.7832967961223,990.9371065456517,398,-557984+225319,1
0,908.0741683799415,1020.9876413273441,1037,-557995+225858,1
0,485.33144158079375,870.8250629044314,361,-558008+225361,1
0,1020.9740421537539,1483.404504577242,1429,-558012+225527,1
0,870.7971927802838,1421.2307039099942,1082,-558038+224569,1
0,1131.8138529669072,1471.3985793863526,1597,-558058+225447,1
0,660.6387167595537,1523.3109871250392,769,-558064+225839,1
0,1321.379665573781,1501.4354383360633,1565,-558072+225585,1
0,621.690326725309,810.7428049970997,659,-558089+224586,1
0,1082.0863729177834,1411.3764685094573,1512,-558091+226062,1
0,900.8578158648784,1131.3204262368063,798,-558109+225480,1
0,1080.1951870458265,1591.5656006112836,1531,-558115+226275,1
0,584.570862720193,1051.0276881332834,740,-558167+226119,1
